experiment,protocol_relation,selection_and_evaluation,seed_count,scenario_count,mean_relative_waiting_delta,ci95_low,ci95_high,improved_seed_count,improved_seed_denominator,all_seed_deltas_improved,comparator,guard,pooled_with_other_row,comparison_scope
V91 Jinan city diagnostic,final V43 controller; V91 confirmation,frozen two-city protocol; Jinan diagnostic,64,3,-0.030446469768574826,,,64,64,True,final V43 legacy near-target-only,none in final V43 controller,False,controller-pair contrast; retained source prior prevents strict source-row attribution
V98 Jinan controller-pair confirmation,post-V91 V98 successor,B100 target-offline preselection; fresh Jinan confirmation,56,3,-0.045274013085975714,-0.04786736703256771,-0.04278512539219397,56,56,True,strict zero-source-row lower-capacity target model (causal_target_only_v2),post-V91 shared inherited Jinan pressure guard (risk_multiplier=0.5),False,controller-pair contrast; lower-capacity comparator prevents source-row attribution
