city,policy,label,all_departed_wait_sec,completed_wait_sec,system_vehicle_hours,unfinished_fraction,completion_ratio,collision_incidents
los_angeles,fixed_time,Fixed time,507.3251342623798,449.6550092449419,1101.3530555555556,0.14376252559476194,0.44893327280980483,4.0
jinan,fixed_time,Fixed time,169.8402928045445,167.77896676458863,669.0144444444445,0.12125363544960184,0.8726117620460009,0.0
los_angeles,h2oplus_style_dense_residual_mpc,Dense residual,212.8832088019846,187.17885717351868,674.7286111111111,0.034011572947353186,0.8384021788470268,0.5
jinan,h2oplus_style_dense_residual_mpc,Dense residual,105.41379354932296,107.76836769610225,561.5812962962964,0.09817959420149609,0.901820405798504,0.0
los_angeles,simulator_only_mpc,Simulator only,219.16696693852475,181.49919592442203,694.8233333333333,0.04156624173358464,0.8511121198365865,0.0
jinan,simulator_only_mpc,Simulator only,94.25629716047206,95.8551916035912,544.4927777777777,0.09654261197285023,0.9034573880271498,0.0
los_angeles,rigid_anchor_mpc,Rigid anchor,206.77971843856335,175.9587713895732,660.4397222222221,0.046096408413017355,0.8622333182024513,1.0
jinan,rigid_anchor_mpc,Rigid anchor,99.04874741197979,100.83252470719667,552.1576388888889,0.09794558827222044,0.9020544117277796,0.0
los_angeles,cfcmt_selected_mpc,Anchored CFCMT,204.42041090737916,171.03681310549467,644.8838888888888,0.036508833847981086,0.8742623694961417,0.0
jinan,cfcmt_selected_mpc,Anchored CFCMT,93.91324085435544,95.09251119722876,543.4001388888888,0.09679163856270774,0.9032083614372923,0.0
los_angeles,phase_pressure,Phase pressure,197.51449147571526,159.5136857168876,628.4277777777778,0.040364797981927825,0.8899228325011348,0.5
jinan,phase_pressure,Phase pressure,89.72511438661134,91.12312995543009,537.6754166666666,0.0947602894015121,0.905239710598488,0.0
los_angeles,max_pressure,MaxPressure,191.89492324245094,177.7993879565234,620.0866666666666,0.034509710668090846,0.887880163413527,0.5
jinan,max_pressure,MaxPressure,91.57912296447348,93.04386893690271,540.4856944444444,0.09648340749100309,0.9035165925089969,0.0
