version,selector,selected_source_cities,target_mean,target_upper_95_one_sided,target_improving_cities,target_maximum_city_regression,placebo_mean,placebo_upper_95_one_sided,dense_mean,dense_upper_95_one_sided,decision
v145,Robust history,6,-0.0028280589062918715,0.009293082627136922,4,0.02810352794651431,-0.012925932478658114,-0.002736455039521553,-0.07196914767719653,-0.032280306216920227,REJECT
v146,OOF action agreement,7,-0.001611944677431394,0.009509673475393082,3,0.026221536916783583,-0.028026973614336658,0.011804344131687728,-0.07075303344833604,-0.03781994211078901,REJECT
v148,Mechanism compatibility,0,0.0,0.0,0,0.0,0.0,0.0,-0.06914108877090466,-0.02983742364784516,REJECT
