seed,target_only_macro_wait_sec,cfcmt_macro_wait_sec,macro_relative_delta,los_angeles_relative_delta,jinan_relative_delta
1020485,153.24938062662238,152.4312451334933,-0.00533858923138098,0.0035241747419580845,-0.024680961955116903
1056390,153.88945795779418,141.01186420966576,-0.08368080516379645,-0.10778216865867682,-0.030969947951848837
1125783,142.87179427422726,146.63349040288801,0.02632917258280233,0.053292019396251264,-0.026570482894327934
1349594,150.55698807660116,145.02064432654151,-0.036772413029695,-0.04260033036329729,-0.024158193996507184
1355629,149.95326051566067,154.6041678072459,0.031015713000115033,0.05674375103862256,-0.023972192048497373
2232111,169.4457844724757,146.78970773213234,-0.13370693647456042,-0.17069000271585838,-0.042069838409505476
2268002,146.21719788496415,153.08926270135527,0.04699901869134224,0.08637833275735335,-0.032774256473323764
2310956,147.51776665853683,156.030841870521,0.057708813011585196,0.10014152714237386,-0.0293422305145124
2422696,145.92061255786496,150.69463849897133,0.032716597452695236,0.06566624735485123,-0.03289128247471447
2624850,142.97530482922173,146.0073301081618,0.02120663622687639,0.04564468039866441,-0.027224131706029574
2654295,147.00375862116573,155.62217080507423,0.058627155283277346,0.10659632923542203,-0.03947419462564063
2780289,145.57116575173558,148.3298437906116,0.018950717503910097,0.03873731961856143,-0.021240267940599026
2835024,146.96692300457406,150.3208874333914,0.022821219633978113,0.051241193126025264,-0.034739446342895476
3306428,145.06960471009114,148.9686385424832,0.026876986672597202,0.05054532878830402,-0.020844696313778534
3348668,150.2341670321273,146.740538683754,-0.023254552658625065,-0.0192695162973274,-0.03162868876853089
3575982,148.63350824383798,147.9849267385559,-0.00436362912337404,0.010260979688453978,-0.034706200700532014
3900758,147.91169532027413,143.29877146493249,-0.031187012259938304,-0.03326286176362365,-0.026871638724045667
4287970,151.67007961111662,149.29529356499089,-0.01565757763307507,-0.014360695890476017,-0.01847319290498269
4521097,145.1479427937526,144.02131274881623,-0.007761942906330112,0.005386043112510051,-0.03414527146741558
4527726,145.60071001702474,148.53203216269242,0.020132608867943887,0.037703473395429156,-0.01580995046659584
4811153,144.7438302005802,149.0150613722242,0.029508899728058306,0.06371487881567733,-0.038342659842598034
5226558,151.05242485617458,149.16484884905188,-0.012496164883946548,-0.0025331902978306367,-0.03349641597043763
5274960,148.120984696796,149.8716545638068,0.011819188689532578,0.03649517390325149,-0.03846618160386267
5369261,151.74221634265334,155.78676533844154,0.026654078827048996,0.048999780538582643,-0.021829241813120005
5382391,148.58491807982276,149.92380151537074,0.009010897289243782,0.031157384426232334,-0.03652349413474797
5454662,146.54239748251013,148.16751473798274,0.011089741149257332,0.03180847160298976,-0.031528741384525
5489994,152.02724745552547,153.37761454065154,0.008882401725526914,0.02815512486833813,-0.032339284581636825
5622039,150.4193543071975,149.98099992001323,-0.0029142153229099912,0.010618696992269073,-0.03160702690038197
5730204,150.22913129032642,151.7399890162296,0.010057022316020452,0.03771186007154225,-0.047238483087335255
5761895,152.18618120178883,146.64131438061543,-0.0364347589077176,-0.04782314988337543,-0.011432951682840677
5837574,147.19845092800966,152.61105784315353,0.03677081437352226,0.06714849046645596,-0.025355879953367726
5854838,146.7074576367318,138.18364549601563,-0.05810074196652165,-0.07063673006260687,-0.03229777980897658
5883745,148.771207047863,145.80048623730698,-0.019968385479323673,-0.01708193976223624,-0.025955063684936153
5946142,157.08121358333074,150.01932760679114,-0.04495690996678802,-0.05145250458524697,-0.030335106454766607
