policy,label,all_departed_wait_sec,completed_wait_sec,system_vehicle_hours,unfinished_fraction,completion_ratio,throughput_ratio,collision_incidents_city_macro
fixed_time,Fixed time,338.58271353346214,308.71698800476526,885.18375,0.13250808052218188,0.6607725174279029,0.8674919194778181,2.0
h2oplus_style_dense_residual_mpc,Dense residual,159.1485011756538,147.47361243481046,618.1549537037038,0.06609558357442463,0.8701112923227654,0.9339044164255754,0.25
simulator_only_mpc,Simulator only,156.7116320494984,138.6771937640066,619.6580555555555,0.06905442685321744,0.8772847539318682,0.9309455731467826,0.0
rigid_anchor_mpc,Rigid anchor,152.91423292527156,138.39564804838494,606.2986805555555,0.0720209983426189,0.8821438649651154,0.9279790016573811,0.5
cfcmt_selected_mpc,Anchored CFCMT,149.1668258808673,133.06466215136172,594.1420138888889,0.06665023620534441,0.8887353654667169,0.9333497637946556,0.0
phase_pressure,Phase pressure,143.6198029311633,125.31840783615885,583.0515972222222,0.06756254369171996,0.8975812715498114,0.93243745630828,0.25
max_pressure,MaxPressure,141.7370231034622,135.42162844671304,580.2861805555556,0.06549655907954696,0.895698377961262,0.934503440920453,0.25
