city,anchor_regret,selected_regret,absolute_improvement,relative_improvement,selected_selector,selected_non_anchor_targets,evaluation_seed
resco_synthetic,0.27792309010810307,0.26106930104993553,0.016853789058167534,0.06064191734343468,scope_constant_tau_0_rho_0p05_lambda_0,2,4047
cologne,0.2743424786770311,0.18861380693900637,0.08572867173802473,0.3124877786022651,scope_all_tau_0_rho_0p1_lambda_0,2,4047
ingolstadt,0.2904678603875705,0.25803736629659957,0.03243049409097093,0.11164916506665834,scope_all_tau_0_rho_0p1_lambda_0,2,4047
atlanta,0.05720832214078345,0.040318230852214504,0.01689009128856895,0.29523836142238663,scope_all_tau_0_rho_0p1_lambda_0,1,4047
hangzhou,0.37103976438214337,0.3749210883721651,-0.0038813239900217233,-0.010460668539084799,scope_all_tau_0_rho_0p1_lambda_0,2,4047
new_york,0.32145578198672686,0.30573379050009114,0.015721991486635722,0.04890872203158845,scope_all_tau_0_rho_0p1_lambda_0,1,4047
salt_lake_city,0.09750731806002512,0.0949956404782274,0.002511677581797725,0.02575886232714909,scope_all_tau_0_rho_0p1_lambda_0,2,4047
