stage,evidence_class,seed_count,paired_cell_count,target_only_wait_sec,cfcmt_wait_sec,mean_relative_delta,los_angeles_relative_delta,jinan_relative_delta,ci95_low,ci95_high,improved_count,improved_denominator,cfcmt_collision_incidents,target_only_collision_incidents,decision
v90 post-freeze,post-hoc same-seed ablation,2,8,149.04461953668914,149.1668258808673,0.0008199312699649002,0.01211608048389028,-0.022917235287279337,,,7,8,0,1,descriptive only
v91 fresh,preregistered fresh-seed confirmation,64,256,149.0920788278676,155.14456222539172,0.04254473784879358,0.0786534191826514,-0.030446469768574826,-0.007747646941148439,0.13210817640877948,29,64,25,15,confirmation rejected
