ensemble_min_win_rate,ensemble_min_max_source_weight,splits,mean_total_mse,mean_ratio_vs_h2oplus,wins_vs_h2oplus,ensemble_selected_splits,rigid_fallback_splits
0.6666666666666666,0.4,6,836.1148497238011,0.7082427526274871,6,3,1
0.6666666666666666,0.5,6,836.1148497238011,0.7082427526274871,6,3,1
0.8,0.4,6,836.1148497238011,0.7082427526274871,6,3,1
0.8,0.5,6,836.1148497238011,0.7082427526274871,6,3,1
1.0,0.4,6,837.2558414145914,0.7261061743818208,6,2,2
1.0,0.5,6,837.2558414145914,0.7261061743818208,6,2,2
0.6666666666666666,0.0,6,837.4242134614287,0.7260405329225073,6,4,0
0.8,0.0,6,837.4242134614287,0.7260405329225073,6,4,0
1.0,0.0,6,838.5652051522189,0.7439039546768411,6,3,1
0.6666666666666666,0.6,6,844.8107790848943,0.7621345832082018,6,0,4
0.8,0.6,6,844.8107790848943,0.7621345832082018,6,0,4
1.0,0.6,6,844.8107790848943,0.7621345832082018,6,0,4
