target_city,source_cities,target_transitions,h2oplus_total_mse,cfcmt_total_mse,weighted_cfcmt_total_mse,cfcmt_vs_h2oplus_ratio,weighted_cfcmt_vs_h2oplus_ratio,weighted_cfcmt_vs_unweighted_ratio
Singapore,"austin_capmetro_all, halifax_transit_all, mbta_all",1243488,2254.854804510987,2246.6692517281717,2251.7080634626086,0.9963698093702356,0.9986044595678254,1.0022427919599473
Austin / CapMetro,"singapore_lta_all, halifax_transit_all, mbta_all",310272,91.972400641639,67.82543488760726,36.65306302463812,0.7374542190312298,0.39852241290790064,0.5404029194265468
Halifax Transit,"singapore_lta_all, austin_capmetro_all, mbta_all",266448,97.1175049289306,69.59923772692771,54.75356966143458,0.7166497716128476,0.5637868240283003,0.7866978353449784
MBTA,"singapore_lta_all, austin_capmetro_all, halifax_transit_all",969360,318.9924935381743,186.4177388178515,112.26981886951802,0.5843953779293011,0.35195128770665735,0.6022485820365877
