target_city,budget,calib_lines,eval_lines,oracle,h2oplus_cal_mse,weighted_cfcmt_no_cal_mse,weighted_cfcmt_cal_mse,weighted_no_cal_vs_h2oplus_cal_ratio,weighted_cal_vs_h2oplus_cal_ratio
Singapore,0.0,0,789,False,2254.854804510987,2251.7080634626086,2251.7080634626086,0.9986044595678254,0.9986044595678254
Singapore,0.01,5,784,False,2245.1990412381638,2251.3078324569624,2249.827679747892,1.0027208239031804,1.0020615715688066
Singapore,0.05,38,751,False,1996.1317646048337,2037.9951830508771,2026.9679416644378,1.0209722720655823,1.0154479667156184
Singapore,0.1,77,712,False,2029.7106122822124,2092.41871808525,2076.29912828966,1.030895096780584,1.0229532800023464
Singapore,0.25,209,580,False,1978.1213050433144,2092.0696307983308,2056.100382918561,1.0576043165120863,1.0394207765097294
Singapore,1.0,789,789,True,2044.4095280429578,2251.7080634626086,2163.4385657440776,1.10139775449887,1.0582217193123054
Austin / CapMetro,0.0,0,234,False,91.972400641639,36.65306302463812,36.65306302463812,0.39852241290790064,0.39852241290790064
Austin / CapMetro,0.01,1,233,False,92.40552230565142,36.83989336608195,36.7824896154979,0.3986763176796509,0.39805510209478384
Austin / CapMetro,0.05,8,226,False,92.70523629527591,37.51877863782044,37.24573703213026,0.4047104579758493,0.4017651917039365
Austin / CapMetro,0.1,23,211,False,89.48061849230952,38.18983895920141,37.48064260851092,0.42679453498059655,0.4188688370737203
Austin / CapMetro,0.25,51,183,False,83.21075535744882,37.679642878380555,35.973609271423896,0.45282178627654496,0.43231922504358844
Austin / CapMetro,1.0,234,234,True,67.04221216053593,36.65306302463812,30.352076835610617,0.5467161933271315,0.4527308371467674
Halifax Transit,0.0,0,176,False,97.1175049289306,54.75356966143458,54.75356966143458,0.5637868240283003,0.5637868240283003
Halifax Transit,0.01,1,175,False,97.97166650189202,55.11881030391836,55.089377144844576,0.5625994970990302,0.5622990718829989
Halifax Transit,0.05,13,163,False,94.57197635091677,49.72629448471219,49.68253267109658,0.5258036936882746,0.5253409581581083
Halifax Transit,0.1,24,152,False,91.29071196222004,51.8200866611884,51.45094330912862,0.5676381041111142,0.5635945016007893
Halifax Transit,0.25,50,126,False,90.65117980604482,57.023793397112705,56.265647525607456,0.6290463457742028,0.6206830142309471
Halifax Transit,1.0,176,176,True,81.72166291167102,54.75356966143458,52.26471839149944,0.6700006792643838,0.6395454586868826
MBTA,0.0,0,940,False,318.9924935381743,112.26981886951802,112.26981886951802,0.35195128770665735,0.35195128770665735
MBTA,0.01,7,933,False,313.26082921306494,112.35512252363895,112.20260046549107,0.35866317153626764,0.35817628634691595
MBTA,0.05,33,907,False,292.0242211991909,114.98854571796329,113.84583419429954,0.3937637270147162,0.3898506559722827
MBTA,0.1,78,862,False,262.81160831173275,115.85037246999552,113.62006157466347,0.44081147409813093,0.4323251256082021
MBTA,0.25,221,719,False,218.75099261461068,124.54285645080232,119.46530117968535,0.5693361888886073,0.5461246129756127
MBTA,1.0,940,940,True,135.16145735626105,112.26981886951802,100.89031816069154,0.8306348648904781,0.7464429589181106
