mechanism,targets,weighted_wins,mean_cfcmt_ratio,mean_weighted_ratio
demand_stop_reward,4,4,0.8196955675798581,0.7706356938183965
headway_gap,4,3,0.7585950647524823,0.5743038324057457
speed,4,4,0.8203390306089123,0.6684229031042401
