split,selected_candidate,selected_mse,candidate_oracle_method,candidate_oracle_mse,selected_over_oracle,non_ensemble_oracle_method,non_ensemble_oracle_mse,selected_over_non_ensemble_oracle
source_open_na_to_singapore,dense_static_local_delta_alpha_0p75,2367.5165429048193,rigid_first_static_local_delta_alpha_1p00,2359.102177130786,1.0035667661433245,rigid_first_static_local_delta_alpha_1p00,2359.102177130786,1.0035667661433245
source_singapore_austin_halifax_to_mbta,ensemble_dense_static_local_delta_alpha_0p50,93.8321031926153,rigid_first_ensemble_static_local_delta_alpha_1p00,86.84069830982726,1.08050839086812,rigid_first_static_local_delta_alpha_0p50,110.06300653036841,0.8525308016797206
leave_one_city_out_all::singapore_lta_all,dense_static_local_delta_alpha_0p75,2367.5165429048193,rigid_first_static_local_delta_alpha_1p00,2359.102177130786,1.0035667661433245,rigid_first_static_local_delta_alpha_1p00,2359.102177130786,1.0035667661433245
leave_one_city_out_all::austin_capmetro_all,ensemble_dense_static_local_delta_alpha_0p25,40.79364474550769,rigid_first_ensemble_dense_delta_alpha_1p00,32.0226691200257,1.2738989555370004,rigid_first_dense_static_local_delta_alpha_0p25,43.31777524462644,0.9417299137625526
leave_one_city_out_all::halifax_transit_all,rigid_cfcmt,53.19816140242982,rigid_first_dense_static_local_delta_alpha_0p50,41.08065016932256,1.294968827980141,rigid_first_dense_static_local_delta_alpha_0p50,41.08065016932256,1.294968827980141
leave_one_city_out_all::mbta_all,ensemble_dense_static_local_delta_alpha_0p50,93.8321031926153,rigid_first_ensemble_static_local_delta_alpha_1p00,86.84069830982726,1.08050839086812,rigid_first_static_local_delta_alpha_0p50,110.06300653036841,0.8525308016797206
mean,,836.1148497238011,,827.4981783617624,1.1228363495900051,,837.121465456043,0.9914823128981306
