budget,N,cal_lines,cal_trans,cfcmt_refit,adarl_refit,adarl_bias,fansrl_bias,fansrl_wins,refit_wins,oracle
0.0,4,0.0,0.0,0.5782162460526709,0.5782162460526709,0.5782162460526709,0.5782162460526709,4,4,False
0.01,4,3.5,3972.0,0.5801480079733763,0.5801480079733763,0.5585195776596397,0.5585195776596397,4,3,False
0.05,4,23.0,30468.0,0.5831011931374864,0.5831979534638368,0.5471569229267966,0.5446001911953184,3,3,False
0.1,4,50.5,61704.0,0.6094354360712645,0.609439775302957,0.5717609183579418,0.5717449856087904,3,3,False
0.25,4,132.75,167712.0,0.6596369071899695,0.6616326529079541,0.6317636777099178,0.6288583045845106,3,3,False
1.0,4,534.75,697392.0,0.7242352435160165,0.7244043668337646,0.7221634740246156,0.722105841264985,3,3,True
