budget,splits,mean_no_cal_ratio,mean_cal_ratio,no_cal_wins,cal_wins,mean_calib_lines,oracle
0.0,4,0.5782162460526709,0.5782162460526709,4,4,0.0,False
0.01,4,0.5806649525545323,0.5801480079733763,3,3,3.5,False
0.05,4,0.5863125376861056,0.5831011931374864,3,3,23.0,False
0.1,4,0.6165348024926065,0.6094354360712645,3,3,50.5,False
0.25,4,0.6772021593628603,0.6596369071899695,3,3,132.75,False
1.0,4,0.7871873729952159,0.7242352435160165,3,3,534.75,True
