policy,episodes,mean_reward,mean_headway_abs_error,mean_hold_seconds
no_hold,10,-1138.411013163572,601.9113059722354,0.0
fixed_30,10,-1151.2900795951823,598.4458815323758,30.0
h2oplus_dense_policy,10,-1121.6119833490934,585.5525709877122,3.117040598290598
cfcmt_mechanism_policy,10,-1122.2105346508322,589.1994825629583,3.4897115384615383
cfcmt_similarity_weighted_policy,10,-1121.5739989955732,588.2357044598095,3.2858653846153842
