split,selected_feature_set,source_fold_score,selected_candidate,h2oplus_mse,guarded_mse,guarded_ratio_vs_h2oplus
source_open_na_to_singapore,obs_only,0.8940687218821495,dense_static_local_delta_alpha_0p75,2376.142713769884,2367.5165429048193,0.9963696747610843
source_singapore_austin_halifax_to_mbta,sim_only,0.641802096801802,ensemble_dense_static_local_delta_alpha_0p50,209.6939031282136,93.8321031926153,0.44747177573037655
leave_one_city_out_all::singapore_lta_all,obs_only,0.8940687218821495,dense_static_local_delta_alpha_0p75,2376.142713769884,2367.5165429048193,0.9963696747610843
leave_one_city_out_all::austin_capmetro_all,sim_only,0.880797004482261,ensemble_dense_static_local_delta_alpha_0p25,63.87307574560076,40.79364474550769,0.6386672986906747
leave_one_city_out_all::halifax_transit_all,sim_only,1.0,rigid_cfcmt,73.56893477294852,53.19816140242982,0.7231063160913255
leave_one_city_out_all::mbta_all,sim_only,0.641802096801802,ensemble_dense_static_local_delta_alpha_0p50,209.6939031282136,93.8321031926153,0.44747177573037655
mean,,0.8254231069750274,,884.852540719124,836.1148497238011,0.7082427526274871
