split,target_city,train_transitions,target_transitions,h2oplus_total_mse,cfcmt_total_mse,cfcmt_vs_h2oplus_ratio,weighted_cfcmt_vs_h2oplus_ratio,weighted_cfcmt_vs_unweighted_ratio
source_open_na_to_singapore,Singapore,1546080,1243488,2254.8548045452762,2246.6692517263164,0.996369809354261,0.9986044595678254,1.0022427919599473
source_singapore_austin_halifax_to_mbta,MBTA,1820208,969360,318.99249353807494,186.41773880494532,0.5843953778890238,0.35195128770665735,0.6022485820365877
leave_one_city_out_all::singapore_lta_all,Singapore,1546080,1243488,2254.8548045452762,2246.6692517263164,0.996369809354261,0.9986044595678254,1.0022427919599473
leave_one_city_out_all::austin_capmetro_all,Austin / CapMetro,2479296,310272,91.97240064143132,67.82543490107857,0.7374542191793662,0.39852241290790064,0.5404029194265468
leave_one_city_out_all::halifax_transit_all,Halifax Transit,2523120,266448,97.1175049093751,69.59923773064564,0.7166497717954343,0.5637868240283003,0.7866978353449784
leave_one_city_out_all::mbta_all,MBTA,1820208,969360,318.99249353807494,186.41773880494532,0.5843953778890238,0.35195128770665735,0.6022485820365877
