dataset,budget,cal_lines,cal_transitions,source_only_vs_passive,source_plus_target_vs_passive,target_only_vs_passive,residual_gate_vs_passive
CapMetro APC Raw July 2021 - December 2021,0.0,0,0,3.351999207849758,3.351999207849758,-,3.351999207849758
CapMetro APC Raw July 2021 - December 2021,0.01,1,745,3.3519756530962272,0.9802725588777887,1.06624385647907,0.970028038338873
CapMetro APC Raw July 2021 - December 2021,0.05,8,293425,3.346641784731461,0.9300082092076057,0.8981561634370595,0.9700719171233017
CapMetro APC Raw July 2021 - December 2021,0.1,12,650668,3.343715589621866,0.9207124453984219,0.9087020097455331,0.9698960535521067
CapMetro APC Raw July 2021 - December 2021,0.25,24,1537062,3.338144696700371,0.9109713433004502,0.8932913073949691,0.9699164540444456
CapMetro APC Raw August 2016,0.0,0,0,3.3451842023185403,3.3451842023185403,-,3.3451842023185403
CapMetro APC Raw August 2016,0.01,1,5088,3.345159487037076,0.9515337178795545,0.9764581582531652,0.9566781624098837
CapMetro APC Raw August 2016,0.05,8,512496,3.3555832013880873,0.9028039524055954,0.8749373950544398,0.9550571916536528
CapMetro APC Raw August 2016,0.1,14,922153,3.347166620189852,0.8963171625036351,0.878365038588355,0.9549424932150536
CapMetro APC Raw August 2016,0.25,26,1620309,3.327695769398482,0.890262328269623,0.8789525420413385,0.9555902429961386
