dataset,hours,cal_lines,cal_transitions,eval_transitions,source_only_vs_passive,source_plus_target_vs_passive,target_only_vs_passive,residual_gate_vs_passive,bias_adapter_vs_passive
CapMetro APC Raw July 2021 - December 2021,0.0,0,0,5771472,3.351999207849757,3.351999207849757,-,3.351999207849757,3.351999207849757
CapMetro APC Raw July 2021 - December 2021,1.0,1,2,5771470,3.352002237400567,2.1208851964188096,3.863166513377051,1.8777224413507008,3.9878537430053576
CapMetro APC Raw July 2021 - December 2021,6.0,30,442,5771030,3.3518258168806194,1.1626908450841245,3.5578123916077056,0.9996629634567522,8.457464638202087
CapMetro APC Raw July 2021 - December 2021,24.0,76,32348,5739124,3.3520895041067864,0.9432194113283643,0.9044616191717644,0.9702199667054369,3.2113673730916963
CapMetro APC Raw July 2021 - December 2021,168.0,87,215429,5556043,3.351243879186337,0.9340735572827144,0.8928412905277093,0.9698357309246888,3.180869379435011
CapMetro APC Raw August 2016,0.0,0,0,5796060,3.345184202318545,3.345184202318545,-,3.345184202318545,3.345184202318545
CapMetro APC Raw August 2016,1.0,6,18,5796042,3.3451922408425023,1.3048580570708321,1.2876569372604114,1.0133391474095241,6.269108030621806
CapMetro APC Raw August 2016,6.0,9,100,5795960,3.3451957076524184,1.1928486292788338,1.2705159518142997,0.961149895402991,5.660437302693316
CapMetro APC Raw August 2016,24.0,44,19116,5776944,3.3444787421851405,0.9383897585368464,0.9695322394659766,0.9594567024194176,3.7053281620522247
CapMetro APC Raw August 2016,168.0,83,282958,5513102,3.345399589559554,0.9090855206882754,0.87563468165344,0.9558185672192483,3.1596039711224773
