policy,cities,lines,events,handled_stop_events,warmup_first_arrivals,mean_reward,mean_headway_abs_error,bunching_rate,large_gap_rate,hold_seconds,dwell_seconds
no_hold,4,241,10000,17102,7102,-683.8434,683.8434,0.4924,0.07179999999999999,0.0,8.0
daganzo_a08_policy,4,261,9550,17531,7981,-531.0129072195122,529.6356097560974,0.3432195121951219,0.07624146341463414,27.54594926829268,35.54594926829268
target_summary_daganzo_policy,4,261,9583,17561,7978,-529.9848138053288,528.6339371579453,0.34026452232357174,0.0763402304368699,27.01753294767163,35.017532947671626
threshold_equalization_policy,4,252,9574,17521,7947,-532.6507804725169,531.3492767598843,0.33563664416586303,0.07502594021215044,26.03007425265188,34.03007425265188
h2oplus_dense_mpc_policy,4,241,9830,16838,7008,-685.659671888412,685.5540326180258,0.48753047210300426,0.06786051502145923,2.112785407725322,10.112785407725323
cfcmt_similarity_weighted_mpc_policy,4,243,9633,16854,7221,-645.9390102086263,645.3517951242382,0.4432262072198781,0.06527205813408346,11.744301687763713,19.744301687763713
