scenario,splits,weighted_wins_vs_h2oplus,unweighted_wins_vs_h2oplus,weighted_wins_vs_unweighted,mean_unweighted_ratio_vs_h2oplus,mean_weighted_ratio_vs_h2oplus,mean_weighted_ratio_vs_unweighted
baseline,4,4,4,3,0.7587172944859035,0.5782162460526709,0.732898032192015
headway_gap_bias_125,4,3,3,3,0.7586670389270619,0.57682977978345,0.7300789350417292
demand_stop_reward_bias_125,4,4,4,3,0.7587190849989918,0.5801833093991626,0.7369845816382172
speed_bias_150,4,4,4,3,0.7589305192388963,0.5785750961804846,0.7332427509630874
mixed_mechanism_bias,4,3,3,3,0.7587703272231787,0.5766580782411158,0.7295184651402097
measurement_noise_10pct,4,4,4,3,0.7779555587061705,0.614012095301118,0.7648250768134236
measurement_noise_25pct,4,4,4,3,0.8391170713644129,0.7254721213848525,0.8509642664606192
