policy,mean_queue,seed_std,p90_queue,active_wait,trip_time,trip_wait,time_loss,depart_delay,completed_trips,tripinfo_count,throughput
Phase pressure,32.23430597016798,0.9900535396820623,62.18000689551703,39.01225244913547,104.22908829483909,20.85279119981425,38.5434092859226,12.539278983765826,2161.875,2167.5416666666665,0.9491801886891058
MaxPressure,42.78718326141137,0.7314327364296196,71.62768270413237,29.789972535712693,106.918192067514,20.552053179845647,40.73305611275996,32.09231674829718,2163.5416666666665,2169.2083333333335,0.9447631298880582
CFCMT + pressure guard,43.51063930723951,0.5698997424921988,74.24959514301366,30.50517933187579,108.63262548185573,22.039964111256165,42.448525201524355,33.304767478185326,2163.5833333333335,2169.25,0.9447898972120269
Target-static simulator,44.89725199703761,1.2334562743117368,65.4093930964412,45.98668483227302,258.2547032718866,169.8899888539062,188.99739478630445,45.020158693805676,2098.7083333333335,2104.4166666666665,0.8754363965643882
H2O+-style dense,49.50576813577487,3.950985749891356,74.98800672777166,48.51717925717156,221.4173469141048,131.17057474780992,150.32749212841836,34.98681441515049,2061.4583333333335,2067.3333333333335,0.882706195180257
Native actuated SUMO,58.34677155680086,1.1370071770981018,99.40551609989355,6.355717213300873,164.57539283293215,66.13264522647242,98.16038906152562,41.31086074059909,2342.9166666666665,2346.5833333333335,0.9713706735445641
Fixed RESCO program,84.60878393601135,0.6458448607048585,133.0312204943112,8.137153287347596,221.20929646367185,113.39879859604656,154.37760813109153,36.682278868693,2233.4583333333335,2238.9166666666665,0.9384723809838772
