city,demand_evidence,traffic_evidence,lines,transitions,uncal_mse,line_mse_p25,line_mse_p50,line_mse_p75
Singapore,observed stop OD/PV monthly,observed speed bands,789,1243488,2256.5339356810614,220.17302965843416,324.7508262945176,541.4336145179388
Austin / CapMetro,schedule proxy,schedule derived,234,310272,1301.3026584944005,242.2481977184658,615.8956807988395,3043.8060584333953
Halifax Transit,route APC apportioned,schedule derived,176,266448,1111.9222883073603,199.21640830012737,620.290832837858,1614.3015939668112
MBTA,stop board/alight apportioned,schedule derived,940,969360,1216.3715970728938,180.96246446335317,459.6093101459709,1040.062442737711
