target_city,source_cities,selected_candidate,h2oplus_mse,rigid_cfcmt_mse,guarded_mse,guarded_ratio_vs_h2oplus,guarded_ratio_vs_rigid,max_source_weight
singapore lta,"austin capmetro, halifax transit, mbta",dense_static_local_delta_alpha_0p75,2376.142713769884,2388.762841879932,2367.5165429048193,0.9963696747610843,0.9911057311330279,0.4649877435379538
austin capmetro,"singapore lta, halifax transit, mbta",ensemble_dense_static_local_delta_alpha_0p25,63.87307574560076,47.63959489024872,40.79364474550769,0.6386672986906747,0.856297053732035,0.5905001846495002
halifax transit,"singapore lta, austin capmetro, mbta",rigid_cfcmt,73.56893477294852,53.19816140242982,53.19816140242982,0.7231063160913255,1.0,0.3748548628374035
mbta,"singapore lta, austin capmetro, halifax transit",ensemble_dense_static_local_delta_alpha_0p50,209.6939031282136,116.49691620352385,93.8321031926153,0.44747177573037655,0.8054470989488478,0.5909395334779992
mean,,,680.8196568541616,651.5243785940336,638.835113061343,0.7014037663183653,0.9132124709534777,
