target,transitions,snapshots,routes,no_local_mse,static_local_mse,static_vs_no,selector,selector_vs_no,temporal_static_vs_no
mbta_live,1666,11,63,0.047122854490841935,0.048437337271750154,1.0278948038082811,no_local,1.0,1.019000452626605
nyc_mta_bus,52920,95,241,0.15687612371919393,0.15641108022305522,0.997035600541921,no_local,1.0,0.9832098570623299
septa_bus,17040,94,96,0.639870879625638,0.6457154150980134,1.009133929451196,no_local,1.0,0.990194052478567
