policy,mean_queue,seed_std,p90_queue,active_wait,trip_time,trip_wait,time_loss,depart_delay,completed_trips,tripinfo_count,throughput
MaxPressure,12.90677121838965,0.15460123535799916,19.52786203769738,14.467077511922632,87.58910037976511,8.060539542905238,24.51711555430644,3.296410669080904,300.625,306.2916666666667,0.826729809998293
CFCMT + pressure guard,12.917977956375934,0.19185113305060553,19.597322616457266,14.487444216558544,87.48631332089091,8.011387040111613,24.41268810855217,3.306440365654874,300.2916666666667,305.9583333333333,0.825592853583974
Phase pressure,13.244594845567141,0.18158058553367581,19.391123271484986,16.826435934507685,86.53710598757876,7.454418189884106,23.46280017812396,2.688650943021525,296.0833333333333,301.75,0.8199192808924834
H2O+-style dense,17.227886227766263,3.608378444738678,28.932489686578776,20.212128957136077,86.65854832472776,8.576796694453755,24.54883818009581,2.697778216229757,282.2083333333333,288.0833333333333,0.7653251545957914
Target-static simulator,20.4023267074096,0.17584434900089302,32.553762443131426,18.508761900229533,97.96332359134071,19.903244334351694,35.392751627287154,2.8325520545335734,285.7916666666667,291.5,0.7429089913525906
Native actuated SUMO,30.182505328830473,0.35359617183032355,47.68733179368599,4.619980936154305,119.78132557260214,33.00169120240157,57.08046782720698,2.9131869717488947,290.5833333333333,294.25,0.757984359976254
Fixed RESCO program,42.673174102496944,0.27089129033745457,69.68523897687398,6.942199545406294,142.31159241078566,54.63329206664198,79.87591847323598,3.4433375532463515,270.4166666666667,275.875,0.712679658792997
