temperature,floor,wins_vs_h2oplus,wins_vs_unweighted_cfcmt,mean_ratio_vs_h2oplus,mean_ratio_vs_unweighted_cfcmt
0.5,0.0,6,4,0.6024979463289559,0.744890930135092
0.5,0.05,6,4,0.6033205253829946,0.746022853726125
0.5,0.1,6,4,0.6040667421821059,0.747049689297378
1.0,0.0,6,4,0.6101286617175251,0.7554071711099996
1.0,0.05,6,4,0.6105701219141944,0.7560139171274325
1.0,0.1,6,4,0.6109707894062931,0.7565645998150957
2.0,0.0,6,4,0.6144773519337033,0.7613882660445616
2.0,0.05,6,4,0.6147056268148599,0.7617018377700643
2.0,0.1,6,4,0.6149129500057228,0.7619866301719402
