candidate_family,target_oracle_best_method,mean_total_mse,mean_ratio_vs_h2oplus,wins_vs_h2oplus
ensemble_dense_static_local_delta,rigid_first_ensemble_dense_static_local_delta_alpha_0p75,837.5111502567498,0.7066822006397865,6
ensemble_static_local_delta,rigid_first_ensemble_static_local_delta_alpha_0p75,838.5471288881054,0.7363249505940171,6
ensemble_dense_delta,rigid_first_ensemble_dense_delta_alpha_0p50,846.3212635421852,0.7349978514208538,4
static_local_delta,rigid_first_static_local_delta_alpha_0p25,848.4001026967617,0.7736593140320003,4
dense_static_local_delta,rigid_first_dense_static_local_delta_alpha_0p25,851.3021541851809,0.7533195155332812,4
dense_delta,rigid_first_dense_delta_alpha_0p25,852.9865242901207,0.7596750457211902,4
