slot_index,clock_time,signal_id,detector_role,direction,movement,median_count,selected_window
12,1:00:00,7243,external_origin,N,TR,0.000000,0
12,1:00:00,7243,external_origin,S,L,0.000000,0
12,1:00:00,7243,external_origin,S,TR,1.000000,0
12,1:00:00,7142,internal_destination,E,L,0.000000,0
12,1:00:00,7142,internal_destination,E,T,4.000000,0
12,1:00:00,7142,internal_destination,E,R,1.000000,0
12,1:00:00,7142,external_origin,W,L,1.000000,0
12,1:00:00,7142,external_origin,W,T,5.000000,0
12,1:00:00,7142,external_origin,W,R,0.000000,0
12,1:00:00,7142,external_origin,N,L,1.000000,0
12,1:00:00,7142,external_origin,N,T,4.000000,0
12,1:00:00,7142,external_origin,N,TR,2.000000,0
12,1:00:00,7142,external_origin,S,L,1.000000,0
12,1:00:00,7142,external_origin,S,T,3.000000,0
12,1:00:00,7142,external_origin,S,TR,3.000000,0
13,1:05:00,7243,external_origin,E,L,0.000000,0
13,1:05:00,7243,external_origin,E,T,5.000000,0
13,1:05:00,7243,external_origin,E,TR,1.000000,0
13,1:05:00,7243,internal_destination,W,T,6.000000,0
13,1:05:00,7243,internal_destination,W,TR,2.000000,0
13,1:05:00,7243,external_origin,N,L,0.000000,0
13,1:05:00,7243,external_origin,N,TR,1.000000,0
13,1:05:00,7243,external_origin,S,L,0.000000,0
13,1:05:00,7243,external_origin,S,TR,1.000000,0
13,1:05:00,7142,internal_destination,E,L,1.000000,0
13,1:05:00,7142,internal_destination,E,T,4.000000,0
13,1:05:00,7142,internal_destination,E,R,0.000000,0
13,1:05:00,7142,external_origin,W,L,1.000000,0
13,1:05:00,7142,external_origin,W,T,4.000000,0
13,1:05:00,7142,external_origin,W,R,1.000000,0
13,1:05:00,7142,external_origin,N,L,1.000000,0
13,1:05:00,7142,external_origin,N,T,4.000000,0
13,1:05:00,7142,external_origin,N,TR,2.000000,0
13,1:05:00,7142,external_origin,S,L,1.000000,0
13,1:05:00,7142,external_origin,S,T,3.000000,0
13,1:05:00,7142,external_origin,S,TR,4.000000,0
14,1:10:00,7243,external_origin,E,L,0.000000,0
14,1:10:00,7243,external_origin,E,T,4.000000,0
14,1:10:00,7243,external_origin,E,TR,1.000000,0
14,1:10:00,7243,internal_destination,W,T,6.000000,0
14,1:10:00,7243,internal_destination,W,TR,3.000000,0
14,1:10:00,7243,external_origin,N,L,0.000000,0
14,1:10:00,7243,external_origin,N,TR,1.000000,0
14,1:10:00,7243,external_origin,S,L,0.000000,0
14,1:10:00,7243,external_origin,S,TR,1.000000,0
14,1:10:00,7142,internal_destination,E,L,0.000000,0
14,1:10:00,7142,internal_destination,E,T,4.000000,0
14,1:10:00,7142,internal_destination,E,R,1.000000,0
14,1:10:00,7142,external_origin,W,L,1.000000,0
14,1:10:00,7142,external_origin,W,T,4.000000,0
14,1:10:00,7142,external_origin,W,R,1.000000,0
14,1:10:00,7142,external_origin,N,L,1.000000,0
14,1:10:00,7142,external_origin,N,T,4.000000,0
14,1:10:00,7142,external_origin,N,TR,2.000000,0
14,1:10:00,7142,external_origin,S,L,1.000000,0
14,1:10:00,7142,external_origin,S,T,3.000000,0
14,1:10:00,7142,external_origin,S,TR,4.000000,0
15,1:15:00,7243,external_origin,E,L,0.000000,0
15,1:15:00,7243,external_origin,E,T,4.000000,0
15,1:15:00,7243,external_origin,E,TR,1.000000,0
15,1:15:00,7243,internal_destination,W,T,6.000000,0
15,1:15:00,7243,internal_destination,W,TR,3.000000,0
15,1:15:00,7243,external_origin,N,L,0.000000,0
15,1:15:00,7243,external_origin,N,TR,0.000000,0
15,1:15:00,7243,external_origin,S,L,0.000000,0
15,1:15:00,7243,external_origin,S,TR,1.000000,0
15,1:15:00,7142,internal_destination,E,L,0.000000,0
15,1:15:00,7142,internal_destination,E,T,3.000000,0
15,1:15:00,7142,internal_destination,E,R,1.000000,0
15,1:15:00,7142,external_origin,W,L,1.000000,0
15,1:15:00,7142,external_origin,W,T,5.000000,0
15,1:15:00,7142,external_origin,W,R,1.000000,0
15,1:15:00,7142,external_origin,N,L,1.000000,0
15,1:15:00,7142,external_origin,N,T,4.000000,0
15,1:15:00,7142,external_origin,N,TR,2.000000,0
15,1:15:00,7142,external_origin,S,L,1.000000,0
15,1:15:00,7142,external_origin,S,T,3.000000,0
15,1:15:00,7142,external_origin,S,TR,4.000000,0
16,1:20:00,7243,external_origin,E,L,0.000000,0
16,1:20:00,7243,external_origin,E,T,4.000000,0
16,1:20:00,7243,external_origin,E,TR,1.000000,0
16,1:20:00,7243,internal_destination,W,T,6.000000,0
16,1:20:00,7243,internal_destination,W,TR,2.000000,0
16,1:20:00,7243,external_origin,N,L,0.000000,0
16,1:20:00,7243,external_origin,N,TR,1.000000,0
16,1:20:00,7243,external_origin,S,L,1.000000,0
16,1:20:00,7243,external_origin,S,TR,1.000000,0
16,1:20:00,7142,internal_destination,E,L,1.000000,0
16,1:20:00,7142,internal_destination,E,T,4.000000,0
16,1:20:00,7142,internal_destination,E,R,1.000000,0
16,1:20:00,7142,external_origin,W,L,1.000000,0
16,1:20:00,7142,external_origin,W,T,4.000000,0
16,1:20:00,7142,external_origin,W,R,0.000000,0
16,1:20:00,7142,external_origin,N,L,1.000000,0
16,1:20:00,7142,external_origin,N,T,4.000000,0
16,1:20:00,7142,external_origin,N,TR,2.000000,0
16,1:20:00,7142,external_origin,S,L,1.000000,0
16,1:20:00,7142,external_origin,S,T,3.000000,0
16,1:20:00,7142,external_origin,S,TR,4.000000,0
17,1:25:00,7243,external_origin,E,L,0.000000,0
17,1:25:00,7243,external_origin,E,T,3.000000,0
17,1:25:00,7243,external_origin,E,TR,0.000000,0
